[INFO] [1751366103.306484267] [minimal_publisher]: TIME: 11.736128 ms, Objects detected: 13
[INFO] [1751366103.724910837] [minimal_publisher]: TIME: 5.640192 ms, Objects detected: 11
[INFO] [1751366104.144864008] [minimal_publisher]: TIME: 7.147232 ms, Objects detected: 12
[INFO] [1751366104.565392855] [minimal_publisher]: TIME: 6.174272 ms, Objects detected: 10
[INFO] [1751366104.975645908] [minimal_publisher]: TIME: 6.977600 ms, Objects detected: 11
[INFO] [1751366105.367639722] [minimal_publisher]: TIME: 6.631424 ms, Objects detected: 10
[INFO] [1751366105.758364769] [minimal_publisher]: TIME: 7.442464 ms, Objects detected: 9
[INFO] [1751366106.140537217] [minimal_publisher]: TIME: 6.520832 ms, Objects detected: 13
[INFO] [1751366106.472149336] [minimal_publisher]: TIME: 7.457792 ms, Objects detected: 14
[INFO] [1751366106.849987058] [minimal_publisher]: TIME: 5.896192 ms, Objects detected: 15
[INFO] [1751366107.213700205] [minimal_publisher]: TIME: 7.009408 ms, Objects detected: 14
[INFO] [1751366107.535635982] [minimal_publisher]: TIME: 5.808704 ms, Objects detected: 12
[INFO] [1751366107.903963711] [minimal_publisher]: TIME: 7.188480 ms, Objects detected: 15
[INFO] [1751366108.226011666] [minimal_publisher]: TIME: 6.454272 ms, Objects detected: 12
[INFO] [1751366108.593146002] [minimal_publisher]: TIME: 7.509856 ms, Objects detected: 16
[INFO] [1751366108.937005336] [minimal_publisher]: TIME: 5.927296 ms, Objects detected: 16
[INFO] [1751366109.234142948] [minimal_publisher]: TIME: 7.208928 ms, Objects detected: 12
[INFO] [1751366109.581323738] [minimal_publisher]: TIME: 5.898240 ms, Objects detected: 13
[INFO] [1751366109.876657436] [minimal_publisher]: TIME: 7.275776 ms, Objects detected: 11
[INFO] [1751366110.202482473] [minimal_publisher]: TIME: 6.424576 ms, Objects detected: 13
[INFO] [1751366110.520390359] [minimal_publisher]: TIME: 7.364256 ms, Objects detected: 11
[INFO] [1751366110.839460888] [minimal_publisher]: TIME: 6.540096 ms, Objects detected: 13
[INFO] [1751366111.118647156] [minimal_publisher]: TIME: 7.205888 ms, Objects detected: 12
[INFO] [1751366111.432374460] [minimal_publisher]: TIME: 5.799936 ms, Objects detected: 11
[INFO] [1751366111.703900359] [minimal_publisher]: TIME: 6.816000 ms, Objects detected: 8
[INFO] [1751366112.003857880] [minimal_publisher]: TIME: 5.834720 ms, Objects detected: 12
[INFO] [1751366112.315504776] [minimal_publisher]: TIME: 7.339424 ms, Objects detected: 12
[INFO] [1751366112.604607597] [minimal_publisher]: TIME: 5.881024 ms, Objects detected: 15
[INFO] [1751366112.844962973] [minimal_publisher]: TIME: 7.161856 ms, Objects detected: 11
[INFO] [1751366113.144553735] [minimal_publisher]: TIME: 6.796288 ms, Objects detected: 13
[INFO] [1751366113.436204905] [minimal_publisher]: TIME: 6.827104 ms, Objects detected: 10
[INFO] [1751366113.685820480] [minimal_publisher]: TIME: 6.387904 ms, Objects detected: 13
[INFO] [1751366113.971740523] [minimal_publisher]: TIME: 7.168704 ms, Objects detected: 15
[INFO] [1751366114.220143021] [minimal_publisher]: TIME: 5.817504 ms, Objects detected: 10
[INFO] [1751366114.517416497] [minimal_publisher]: TIME: 7.045120 ms, Objects detected: 14
[INFO] [1751366114.775850513] [minimal_publisher]: TIME: 6.673408 ms, Objects detected: 11
[INFO] [1751366115.012152579] [minimal_publisher]: TIME: 6.994560 ms, Objects detected: 11
[INFO] [1751366115.284434800] [minimal_publisher]: TIME: 6.085472 ms, Objects detected: 12
[INFO] [1751366115.557777836] [minimal_publisher]: TIME: 5.789600 ms, Objects detected: 10
[INFO] [1751366115.797646840] [minimal_publisher]: TIME: 7.299232 ms, Objects detected: 14
[INFO] [1751366116.072557465] [minimal_publisher]: TIME: 7.007200 ms, Objects detected: 14
[INFO] [1751366116.319829932] [minimal_publisher]: TIME: 5.788672 ms, Objects detected: 13
[INFO] [1751366116.558867094] [minimal_publisher]: TIME: 7.227392 ms, Objects detected: 13
[INFO] [1751366116.825457234] [minimal_publisher]: TIME: 7.451232 ms, Objects detected: 15
[INFO] [1751366117.051884120] [minimal_publisher]: TIME: 8.000160 ms, Objects detected: 16
[INFO] [1751366117.315686715] [minimal_publisher]: TIME: 7.460640 ms, Objects detected: 15
[INFO] [1751366117.538037033] [minimal_publisher]: TIME: 7.321184 ms, Objects detected: 16
[INFO] [1751366117.785985497] [minimal_publisher]: TIME: 6.683904 ms, Objects detected: 19
[INFO] [1751366118.042612934] [minimal_publisher]: TIME: 7.873536 ms, Objects detected: 15
[INFO] [1751366118.258680565] [minimal_publisher]: TIME: 6.220288 ms, Objects detected: 17
[INFO] [1751366118.517336998] [minimal_publisher]: TIME: 7.549152 ms, Objects detected: 14
[INFO] [1751366118.728446927] [minimal_publisher]: TIME: 5.858400 ms, Objects detected: 13
[INFO] [1751366118.975029749] [minimal_publisher]: TIME: 7.305120 ms, Objects detected: 15
[INFO] [1751366119.183466240] [minimal_publisher]: TIME: 7.601184 ms, Objects detected: 13
[INFO] [1751366119.417358205] [minimal_publisher]: TIME: 6.794240 ms, Objects detected: 16
[INFO] [1751366119.669969288] [minimal_publisher]: TIME: 7.289856 ms, Objects detected: 12
[INFO] [1751366119.866737292] [minimal_publisher]: TIME: 6.214144 ms, Objects detected: 15
[INFO] [1751366120.112405662] [minimal_publisher]: TIME: 7.109600 ms, Objects detected: 15
[INFO] [1751366120.320709541] [minimal_publisher]: TIME: 5.819296 ms, Objects detected: 12
[INFO] [1751366120.557562632] [minimal_publisher]: TIME: 7.130112 ms, Objects detected: 14
[INFO] [1751366120.758758394] [minimal_publisher]: TIME: 6.695264 ms, Objects detected: 16
[INFO] [1751366120.986321227] [minimal_publisher]: TIME: 8.315328 ms, Objects detected: 13
[INFO] [1751366121.213296985] [minimal_publisher]: TIME: 5.870528 ms, Objects detected: 12
[INFO] [1751366121.412158631] [minimal_publisher]: TIME: 7.750400 ms, Objects detected: 16
[INFO] [1751366121.636459406] [minimal_publisher]: TIME: 7.850752 ms, Objects detected: 13
[INFO] [1751366121.827769277] [minimal_publisher]: TIME: 5.952480 ms, Objects detected: 16
[INFO] [1751366122.056631805] [minimal_publisher]: TIME: 8.196064 ms, Objects detected: 15
[INFO] [1751366122.261209357] [minimal_publisher]: TIME: 7.527872 ms, Objects detected: 11
[INFO] [1751366122.477118099] [minimal_publisher]: TIME: 5.912576 ms, Objects detected: 14
[INFO] [1751366122.694639869] [minimal_publisher]: TIME: 5.812320 ms, Objects detected: 12
[INFO] [1751366122.882583317] [minimal_publisher]: TIME: 5.863424 ms, Objects detected: 15
[INFO] [1751366123.104604521] [minimal_publisher]: TIME: 6.537600 ms, Objects detected: 16
[INFO] [1751366123.289627842] [minimal_publisher]: TIME: 5.818592 ms, Objects detected: 12
[INFO] [1751366123.506981269] [minimal_publisher]: TIME: 7.809952 ms, Objects detected: 13
[INFO] [1751366123.721490355] [minimal_publisher]: TIME: 7.067936 ms, Objects detected: 18
[INFO] [1751366123.907207373] [minimal_publisher]: TIME: 6.780064 ms, Objects detected: 14
[INFO] [1751366124.087944806] [minimal_publisher]: TIME: 6.879968 ms, Objects detected: 9
[INFO] [1751366124.299274870] [minimal_publisher]: TIME: 5.824864 ms, Objects detected: 14
[INFO] [1751366124.515152432] [minimal_publisher]: TIME: 7.775232 ms, Objects detected: 17
[INFO] [1751366124.692367331] [minimal_publisher]: TIME: 8.349824 ms, Objects detected: 15
[INFO] [1751366124.884107690] [minimal_publisher]: TIME: 6.387712 ms, Objects detected: 13
[INFO] [1751366125.092960495] [minimal_publisher]: TIME: 8.198272 ms, Objects detected: 11
[INFO] [1751366125.275782898] [minimal_publisher]: TIME: 8.210304 ms, Objects detected: 12
[INFO] [1751366125.478625015] [minimal_publisher]: TIME: 6.859104 ms, Objects detected: 11
[INFO] [1751366125.653412857] [minimal_publisher]: TIME: 7.544480 ms, Objects detected: 15
[INFO] [1751366125.853796098] [minimal_publisher]: TIME: 5.994560 ms, Objects detected: 14
[INFO] [1751366126.058603889] [minimal_publisher]: TIME: 6.526240 ms, Objects detected: 13
[INFO] [1751366126.230971841] [minimal_publisher]: TIME: 6.809600 ms, Objects detected: 12
[INFO] [1751366126.437210687] [minimal_publisher]: TIME: 5.998592 ms, Objects detected: 13
[INFO] [1751366126.614493120] [minimal_publisher]: TIME: 6.178304 ms, Objects detected: 12
[INFO] [1751366126.809664637] [minimal_publisher]: TIME: 7.825216 ms, Objects detected: 12
[INFO] [1751366126.980632922] [minimal_publisher]: TIME: 5.863424 ms, Objects detected: 16
[INFO] [1751366127.180489446] [minimal_publisher]: TIME: 6.783904 ms, Objects detected: 13
[INFO] [1751366127.346262865] [minimal_publisher]: TIME: 6.919168 ms, Objects detected: 13
[INFO] [1751366127.546035998] [minimal_publisher]: TIME: 6.455296 ms, Objects detected: 13
[INFO] [1751366127.739067712] [minimal_publisher]: TIME: 7.282656 ms, Objects detected: 17
[INFO] [1751366127.908623843] [minimal_publisher]: TIME: 7.434848 ms, Objects detected: 12
[INFO] [1751366128.102235681] [minimal_publisher]: TIME: 6.190080 ms, Objects detected: 13
[INFO] [1751366128.272631431] [minimal_publisher]: TIME: 7.271200 ms, Objects detected: 17
[INFO] [1751366128.461075968] [minimal_publisher]: TIME: 7.550336 ms, Objects detected: 16
[INFO] [1751366128.631734990] [minimal_publisher]: TIME: 6.405376 ms, Objects detected: 16
[INFO] [1751366128.820896805] [minimal_publisher]: TIME: 7.523520 ms, Objects detected: 16
[INFO] [1751366128.985059822] [minimal_publisher]: TIME: 7.654400 ms, Objects detected: 17
[INFO] [1751366129.178747612] [minimal_publisher]: TIME: 6.182592 ms, Objects detected: 15
[INFO] [1751366129.336031569] [minimal_publisher]: TIME: 5.811296 ms, Objects detected: 16
[INFO] [1751366129.528033389] [minimal_publisher]: TIME: 6.805568 ms, Objects detected: 16
[INFO] [1751366129.688471590] [minimal_publisher]: TIME: 6.700288 ms, Objects detected: 18
[INFO] [1751366129.874016118] [minimal_publisher]: TIME: 7.433216 ms, Objects detected: 16
[INFO] [1751366130.032396708] [minimal_publisher]: TIME: 5.854528 ms, Objects detected: 15
[INFO] [1751366130.221285676] [minimal_publisher]: TIME: 7.174848 ms, Objects detected: 17
[INFO] [1751366130.373096858] [minimal_publisher]: TIME: 6.037664 ms, Objects detected: 13
[INFO] [1751366130.558395574] [minimal_publisher]: TIME: 7.390400 ms, Objects detected: 16
[INFO] [1751366130.745250432] [minimal_publisher]: TIME: 6.852288 ms, Objects detected: 13
[INFO] [1751366130.904863385] [minimal_publisher]: TIME: 7.696832 ms, Objects detected: 17
[INFO] [1751366131.066001873] [minimal_publisher]: TIME: 5.759936 ms, Objects detected: 11
[INFO] [1751366131.248091328] [minimal_publisher]: TIME: 5.840096 ms, Objects detected: 12
[INFO] [1751366131.401825792] [minimal_publisher]: TIME: 7.096416 ms, Objects detected: 15
[INFO] [1751366131.581135184] [minimal_publisher]: TIME: 7.377920 ms, Objects detected: 12
[INFO] [1751366131.733747924] [minimal_publisher]: TIME: 6.261088 ms, Objects detected: 14
[INFO] [1751366131.916123787] [minimal_publisher]: TIME: 7.251968 ms, Objects detected: 16
[INFO] [1751366132.069625453] [minimal_publisher]: TIME: 7.316224 ms, Objects detected: 17
[INFO] [1751366132.245378116] [minimal_publisher]: TIME: 6.517728 ms, Objects detected: 13
[INFO] [1751366132.413149934] [minimal_publisher]: TIME: 6.364160 ms, Objects detected: 12
[INFO] [1751366132.561305557] [minimal_publisher]: TIME: 7.392320 ms, Objects detected: 15
[INFO] [1751366132.731648938] [minimal_publisher]: TIME: 5.754880 ms, Objects detected: 12
[INFO] [1751366132.889464848] [minimal_publisher]: TIME: 7.480032 ms, Objects detected: 13
[INFO] [1751366133.066948129] [minimal_publisher]: TIME: 7.100800 ms, Objects detected: 13
[INFO] [1751366133.216988118] [minimal_publisher]: TIME: 5.781504 ms, Objects detected: 14
[INFO] [1751366133.362804558] [minimal_publisher]: TIME: 7.107296 ms, Objects detected: 13
[INFO] [1751366133.537189626] [minimal_publisher]: TIME: 7.084928 ms, Objects detected: 14
[INFO] [1751366133.689365743] [minimal_publisher]: TIME: 6.684992 ms, Objects detected: 15
